sample,subject,condition,mmse
3,33,no_back,1.4712160698250552
4,33,no_back,1.5705205608215735
5,33,no_back,1.5629215373925514
6,33,no_back,1.5758428561813203
7,33,no_back,1.6489206305087507
8,33,no_back,1.5703137463441392
9,33,no_back,1.618912635083771
10,33,no_back,1.6553788354949748
0,34,two_back,0.7825067931041908
1,34,two_back,0.9976388092395813
2,34,two_back,1.477780524231832
3,34,two_back,1.1636344727557801
4,34,two_back,1.0790739199927815
5,34,two_back,0.9686077383232948
6,34,two_back,0.8454054160144102
7,34,two_back,0.9690884428529537
8,34,two_back,1.1207721116079585
9,34,two_back,1.1083053223894563
10,34,two_back,0.8182094148113419
0,34,no_back,1.224381093366443
1,34,no_back,1.07818001161717
2,34,no_back,1.0888724851561546
3,34,no_back,0.947991680838308
4,34,no_back,0.8152095824919435
5,34,no_back,0.9414172429394461
6,34,no_back,1.2205299764134612
7,34,no_back,1.0158383893730532
8,34,no_back,0.815657461575595
9,34,no_back,0.8464521943748603
10,34,no_back,0.928147673964392
0,35,two_back,1.3542733164694016
1,35,two_back,1.6081596565648344
2,35,two_back,1.7488646720874363
3,35,two_back,1.7381776620134952
4,35,two_back,1.6675584890916257
5,35,two_back,1.5710902320631999
6,35,two_back,1.5342923827703845
7,35,two_back,1.6286063274463962
8,35,two_back,1.7118519517528035
9,35,two_back,1.6348576820103933
10,35,two_back,1.3554581453109287
0,35,no_back,1.4929233639213324
1,35,no_back,1.5176834187054913
2,35,no_back,1.555038390111018
3,35,no_back,1.4706134805651863
4,35,no_back,1.4306479317278442
5,35,no_back,1.507760590015186
6,35,no_back,1.6786493023444888
7,35,no_back,1.561695249828968
8,35,no_back,1.4277882638272736
9,35,no_back,1.3712882937218644
10,35,no_back,1.5318937032353148
0,36,two_back,1.569058837393149
1,36,two_back,1.6781542479926637
2,36,two_back,1.7104992172895068
3,36,two_back,1.7192671101193318
4,36,two_back,1.7097183782720347
5,36,two_back,1.6454979137758707
6,36,two_back,1.7093411420999038
7,36,two_back,1.7226655482936113
8,36,two_back,1.6738332206695357
9,36,two_back,1.6734067952765757
10,36,two_back,1.5589732775856564
0,36,no_back,1.691328428461385
1,36,no_back,1.6584627748470229
2,36,no_back,1.602268390930195
3,36,no_back,1.6111536692176036
4,36,no_back,1.662556816895517
5,36,no_back,1.6643236495163944
6,36,no_back,1.6824166273544559
7,36,no_back,1.7099876095955995
8,36,no_back,1.6723517378446697
9,36,no_back,1.6799431296695686
10,36,no_back,1.698426892839234
0,37,two_back,1.6112249326481074
1,37,two_back,1.6964927533287164
2,37,two_back,1.8117668572108985
3,37,two_back,1.8372493294299617
4,37,two_back,1.9008548398960157
5,37,two_back,1.7009926651239102
6,37,two_back,1.433051510873837
7,37,two_back,1.3994590984585304
8,37,two_back,1.880112156786049
9,37,two_back,1.848016787015677
10,37,two_back,1.6153315580806782
0,37,no_back,1.8430312253831351
1,37,no_back,1.743593591670213
2,37,no_back,1.7355476858989798
3,37,no_back,1.6241492110244118
4,37,no_back,1.661576137067965
5,37,no_back,1.788433824789254
